Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2021-04-13,203.26438903808594,212.2886462607605,200.1835200240963,209.59592673567036,40840640
2021-04-15,208.96519470214844,210.78460370591782,201.34792975047858,203.2401121531211,53517782
2021-04-16,227.6444549560547,229.80347803769305,211.53661504391684,214.30212258516545,218723272
2021-04-19,229.36683654785156,231.8897563784956,223.71454200350803,224.63637297018568,87619710
2021-04-20,228.0811309814453,231.69568156102426,226.96521783373936,230.94366504488343,35461382
2021-04-22,236.1107635498047,239.91939595136176,228.80887481297066,228.80887481297066,85241858
2021-04-23,230.798095703125,236.45038987437556,230.1431055204815,234.60671325632762,27192006
2021-04-26,233.0299072265625,234.75229002603058,231.42883317120408,232.59325201204555,18629288
2021-04-27,235.33448791503906,236.28058653522012,233.36953208098743,233.56359941665855,14418934
2021-04-28,237.396484375,239.28868161181427,233.49082557878307,235.72263695078786,19231068
2021-04-29,237.66334533691406,239.09460492303708,235.64986892520238,239.04609919289547,15282266
2021-04-30,239.07034301757812,248.3129348311666,237.3964808120991,238.46387334985215,58231142
2021-05-03,236.45040893554688,240.64717628652394,234.46118536383608,236.74151735201,17199462
2021-05-04,233.8304443359375,236.91129831492708,231.81695325145472,236.4261225945964,16204858
2021-05-05,238.02723693847656,240.64718314857427,234.485444915561,235.21320857427645,23713182
2021-05-06,248.55551147460938,249.76845075529044,236.40186580474017,239.5312550714524,48827088
2021-05-07,249.98680114746094,250.61752368971227,246.22668914572813,249.3803314697621,29333162
2021-05-10,255.17819213867188,256.41538438105806,249.01645417895563,251.1269568505098,25088944
2021-05-11,251.51512145996094,253.89246487499634,249.40458917295666,251.29678644919804,15298998
2021-05-12,246.27520751953125,253.52857591730947,244.9409742403051,252.26713084387916,15742214
2021-05-14,241.8358612060547,246.6633510885385,239.07035347766913,246.2266958699484,13599758
2021-05-17,242.49082946777344,244.38302670308494,240.16199183315882,241.83585406243023,11505300
2021-05-18,246.49354553222656,249.76848199973918,243.02454171680594,243.55823802834516,18761492
2021-05-19,248.2401580810547,251.22398584470687,245.08651585145407,246.61481643221364,14980792
2021-05-20,246.590576171875,250.83586400562592,244.33451188435944,250.35068825319723,12584608
2021-05-21,248.74960327148438,250.3021715336468,247.02722054214973,247.43962287488554,10395006
2021-05-24,249.8170166015625,251.5636375339285,247.26982899468481,248.3614744806083,14873624
2021-05-25,251.1027069091797,254.6444840098521,250.20514360456878,251.0299483133556,15909128
2021-05-26,255.8089141845703,257.36148250710806,249.74421730963977,249.81700551725,17646380
2021-05-27,262.43157958984375,264.42078835437087,254.7415260507699,255.808918641912,58822252
2021-05-28,261.36419677734375,262.1404661747931,258.4288892514655,261.50974358776807,11757252
2021-05-31,261.5339660644531,262.26172964478985,257.65256030265726,261.3641664074849,10772410
2021-06-01,263.3533935546875,265.3911376456374,261.8251076960586,262.9167531434127,11930088
2021-06-02,263.4504089355469,264.42076034967414,258.59865186491066,262.9409803656851,9427136
2021-06-03,261.5339660644531,266.7981403965543,261.17008427428476,264.7603964490563,11275982
2021-06-04,262.5771179199219,264.6633676913588,262.2132361128302,263.69301620578096,9543432
2021-06-07,265.9975891113281,267.42886341122653,263.30486978159354,264.2752212238601,8696866
2021-06-08,267.13775634765625,269.5151293699278,266.4342751997391,266.84666274250276,10859468
2021-06-09,264.03265380859375,268.423488502298,263.06230229118825,268.30219456262233,12413798
2021-06-10,268.9086608886719,269.5151305794447,264.6876259183374,264.6876259183374,11441488
2021-06-11,268.9328918457031,271.18897075670253,267.5744057715937,269.27252076742434,11224718
2021-06-14,272.4747009277344,273.05691777501846,268.30220114562644,268.7388711842843,11904318
2021-06-15,270.6795654296875,273.6391256886557,270.2428954052859,272.4261863017379,7674490
2021-06-16,269.3938293457031,272.93560632134427,268.5447718016149,271.6499083793912,10994538
2021-06-17,271.06768798828125,272.4261741183195,266.628318185588,268.05959252069727,8798696
2021-06-18,266.7496032714844,272.64450007786706,264.93019433282007,271.6984015072065,20014232
2021-06-21,263.03802490234375,264.299469912253,259.6660477711789,264.299469912253,10781642
2021-06-22,270.0245666503906,271.6741760999366,263.110811984746,264.5420864170317,11505842
2021-06-23,262.06768798828125,272.1108021230408,261.21863044269105,271.698414588865,22485404
2021-06-24,266.3857421875,267.1135058195282,261.60677284895934,262.9167533091657,17337360
2021-06-25,265.63372802734375,267.33184318368296,262.2374977146654,266.77387921577446,10079644
2021-06-28,265.5852355957031,267.23481549108243,264.05692003335633,266.72538684122674,6519660
2021-06-29,263.25634765625,268.6660690635434,262.4800783085814,265.779267455339,15855760
2021-06-30,264.73614501953125,265.876296123124,262.9652417860095,264.34798075102844,8586644
2021-07-01,261.67950439453125,264.8574289494395,261.02452903852225,264.42075897025023,8658748
2021-07-02,261.3156433105469,263.1107994820365,258.889764595771,262.04340692497965,8314614
2021-07-05,260.2239990234375,263.40192384387103,259.8358643499366,263.40192384387103,6878338
2021-07-06,258.40460205078125,261.17010984942897,258.0407202249797,260.32105225589197,8386882
2021-07-07,258.186279296875,260.24827617119615,254.76576667395614,259.1080954259643,10755374
2021-07-08,257.6283264160156,260.5151280865473,256.17279914812855,259.0353479534177,9131020
2021-07-09,255.10540771484375,257.60407471444836,253.86821545410655,255.88170669555714,11449216
2021-07-12,255.12965393066406,258.1862848175911,253.84395597273235,257.5070269287679,7731112
2021-07-13,254.64447021484375,256.90054920595566,253.5528248216173,256.17278561047135,8344716
2021-07-14,272.5232238769531,273.2994932295046,255.008361587026,255.32373766868744,58696166
2021-07-15,279.4127502441406,281.23215946274865,271.21326752050174,272.1836191037593,62132402
2021-07-16,280.3102722167969,285.889792996534,275.72535574045764,281.40191758674547,73815654
2021-07-19,278.3938293457031,283.3426277390431,276.55016748502493,277.78735968016576,21715702
2021-07-20,275.6283264160156,280.504366299732,272.4504312373382,279.31567981259326,21047054
2021-07-22,283.4396667480469,283.82780140861445,277.03534120396387,279.99490130516534,24086770
2021-07-23,290.69305419921875,291.9787521325263,283.19708315211864,284.55556929096946,28114910
2021-07-26,286.4720153808594,291.34802553935407,285.40462285349713,291.15394340246036,12199806
2021-07-27,286.95721435546875,288.5097827380555,283.41543716607885,285.72002206768735,7966274
2021-07-28,287.1997985839844,287.8790268839345,282.85746958630443,286.71462282140067,9147860
2021-07-29,286.4720153808594,290.13508621570975,285.2348231932975,288.00030116098526,11668940
2021-07-30,284.8709411621094,287.70920733199404,283.8278014995219,285.6957162112886,6356412
2021-08-02,287.3453369140625,288.8736523662302,282.493579431343,285.3803810561166,9247796
2021-08-03,290.8143615722656,293.0461582168856,288.26718883942016,293.0461582168856,10331214
2021-08-04,289.5528564453125,293.0461274634584,288.3399171760101,292.8035396095979,9018712
2021-08-05,291.5421142578125,298.1404924822852,289.89250489530576,289.89250489530576,22588728
2021-08-06,290.13507080078125,294.2105585568052,289.3102661819699,292.9248310969426,10540400
2021-08-09,289.5528564453125,294.01647887890033,288.9221339478303,291.10542463257457,9293502
2021-08-10,292.9733581542969,295.44777219089906,287.7577189599711,290.3291740669301,14055564
2021-08-11,291.7119140625,294.2590867008836,290.35342791125083,292.0272901390298,8565026
2021-08-12,293.9436950683594,295.4235046892328,291.42080504074534,292.0757804108421,7905016
2021-08-13,298.62567138671875,301.02729724975234,294.01650180398303,294.01650180398303,16729368
2021-08-16,297.92218017578125,301.2456520184812,296.1998120886488,298.9167845968482,7144852
2021-08-17,308.0380859375,309.08119599988373,296.53941509765116,297.7766072991084,23645544
2021-08-18,305.36962890625,310.1243453338679,303.04076161594287,308.4504830737513,13847154
2021-08-20,300.8332214355469,306.6068247741851,299.8386170587974,302.021907959711,12341386
2021-08-23,305.1027526855469,309.0326939527732,302.50707431798537,303.7200136697014,14072750
2021-08-24,307.3830871582031,308.57177365537444,302.79817044784375,308.57177365537444,8967436
