Close,High,Low,Open,Volume
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
1024.249755859375,1059.490179822681,1022.2424781882899,1058.2900165196936,9668742
1005.1912231445312,1027.995030801394,1003.5564832853429,1026.4017176893635,2890722
1004.4668579101562,1014.7927261676838,993.6856996446203,1005.191118624183,2546032
1011.9373779296875,1023.4841256678645,996.396788001002,1006.3087956172312,4186812
1016.9652099609375,1026.2978440604893,1006.3909864301587,1023.0696913311375,4342990
1031.7816162109375,1040.4520295826298,1012.9508416102973,1016.1582812400767,3625158
1034.74072265625,1042.9352339886098,1028.8638855935253,1034.45103863275,2733052
1032.5888671875,1038.7968162888276,1016.0757629943038,1038.7968162888276,3088298
1029.40234375,1032.5890713773417,1014.399797121772,1028.0365744694654,2019620
1019.635009765625,1030.5196349534228,1004.4876733462393,1026.3810018813208,3738054
1027.0224609375,1036.644782368443,1016.9448494741325,1030.9334487948117,1890630
